"","date","individuals"
"131","2025-09-25",12.2
"132","2025-09-25",12.1
"133","2025-09-26",63
"134","2025-09-26",165
"135","2025-09-26",130
"136","2025-09-26",4
"137","2025-09-26",47
"138","2025-09-26",177
"139","2025-09-26",135
"140","2025-09-26",171
"141","2025-09-26",37
"142","2025-09-26",41
"143","2025-09-26",48
"144","2025-09-26",164
"145","2025-09-26",145
"146","2025-09-26",136
"147","2025-09-26",16
"148","2025-09-26",166
"149","2025-09-26",178
"150","2025-09-26",153
"151","2025-09-26",5
"152","2025-09-26",142
"153","2025-09-26",7
"154","2025-09-26",186
"155","2025-09-26",189
"156","2025-09-27",172
"157","2025-09-27",139
"158","2025-09-27",184
"159","2025-09-27",157
"160","2025-09-27",138
"161","2025-09-27",146
"162","2025-09-27",169
"163","2025-09-27",176
"164","2025-09-27",133
"165","2025-09-27",154
"166","2025-09-27",182
"167","2025-09-27",140
"168","2025-09-27",181
"169","2025-09-27",137
"170","2025-09-27",148
"171","2025-09-27",190
"172","2025-09-27",159
"173","2025-09-27",149
"174","2025-09-27",147
"175","2025-09-27",129
"176","2025-09-27",143
"177","2025-09-27",132
"178","2025-09-27",141
"179","2025-09-27",192
"180","2025-09-27",183
"181","2025-09-27",150
"182","2025-09-27",161
"183","2025-09-27",134
"184","2025-09-27",162
"185","2025-09-27",163
"186","2025-09-27",170
"187","2025-09-27",180
"188","2025-09-28",187
"189","2025-09-28",167
"190","2025-09-28",156
"191","2025-09-28",173
"192","2025-09-28",349
"193","2025-09-28",348
"194","2025-09-28",370
"195","2025-09-28",158
"196","2025-09-28",323
"197","2025-09-28",175
"198","2025-09-28",346
"199","2025-09-28",339
"200","2025-09-28",334
"201","2025-09-28",338
"202","2025-09-28",378
"203","2025-09-28",353
"204","2025-09-28",155
"205","2025-09-28",168
"206","2025-09-28",152
"207","2025-09-28",191
"208","2025-09-28",160
"209","2025-09-28",355
"210","2025-09-28",344
"211","2025-09-28",358
"212","2025-09-28",383
"213","2025-09-28",336
"214","2025-09-28",328
"215","2025-09-28",151
"216","2025-09-28",174
"217","2025-09-28",144
"218","2025-09-28",329
"219","2025-09-28",359
"220","2025-09-28",352
"221","2025-09-28",357
"222","2025-09-29",354
"223","2025-09-29",373
"224","2025-09-29",330
"225","2025-09-29",361
"226","2025-09-29",367
"227","2025-09-29",326
"228","2025-09-29",364
"229","2025-09-29",327
"230","2025-09-29",368
"231","2025-09-29",362
"232","2025-09-29",374
"233","2025-09-29",324
"234","2025-09-29",365
"235","2025-09-29",331
"236","2025-09-29",360
"237","2025-09-29",332
"238","2025-09-30",382
"239","2025-09-30",322
"240","2025-09-30",366
"241","2025-09-30",376
"242","2025-09-30",88
"243","2025-09-30",384
"244","2025-09-30",363
"245","2025-09-30",379
"246","2025-09-30",100
"247","2025-09-30",81
"248","2025-09-30",114
"249","2025-09-30",347
"250","2025-09-30",350
"251","2025-09-30",72
"252","2025-09-30",345
"253","2025-09-30",341
"254","2025-09-30",333
"255","2025-09-30",377
"256","2025-09-30",90
"257","2025-09-30",96
"258","2025-09-30",115
"259","2025-09-30",381
"260","2025-09-30",106
"261","2025-09-30",372
"262","2025-09-30",102
"263","2025-09-30",75
"264","2025-09-30",335
"265","2025-09-30",94
"266","2025-10-01",69
"267","2025-10-01",71
"268","2025-10-01",128
"269","2025-10-01",74
"270","2025-10-01",121
"271","2025-10-01",131
"272","2025-10-01",76
"273","2025-10-01",66
"274","2025-10-01",105
"275","2025-10-01",107
"276","2025-10-01",108
"277","2025-10-01",77
"278","2025-10-01",97
"279","2025-10-01",127
"280","2025-10-01",89
"281","2025-10-01",124
"282","2025-10-01",95
"283","2025-10-01",335
"284","2025-10-01",80
"285","2025-10-01",83
"286","2025-10-01",113
"287","2025-10-01",70
"288","2025-10-01",111
"289","2025-10-01",122
"290","2025-10-01",93
"291","2025-10-01",118
"292","2025-10-02",101
"293","2025-10-02",84
"294","2025-10-02",65
"295","2025-10-02",98
"296","2025-10-02",70
"297","2025-10-02",92
"298","2025-10-02",78
"299","2025-10-02",91
"300","2025-10-02",8
"301","2025-10-02",123
"302","2025-10-02",68
"303","2025-10-02",71
"304","2025-10-02",117
"305","2025-10-02",67
"306","2025-10-02",85
"307","2025-10-02",125
"308","2025-10-02",119
"309","2025-10-02",99
"310","2025-10-02",110
"311","2025-10-02",126
"312","2025-10-02",79
"313","2025-10-02",382
"314","2025-10-02",87
"315","2025-10-02",104
"316","2025-10-02",73
